Instructor,Type,Course,Program,Semester,Total Classes,Classes by Self
A1,Faculty,Spiritual Heritage of India [SH-603] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,Mathematical Tools in Theoretical Physics I [PHY414] [CORE],MSc in Physics,1,0,0
,,Mathematical Tools in Theoretical Physics II [PHY424] [CORE],MSc in Physics,2,10,2
,,Atomic & Molecular Physics [PHY512] [CORE],MSc in Physics,4,7,7
,,Particle Physics I [PHY522] [CORE],MSc in Physics,4,7,7
A2,Faculty,Complex Analysis [M 203] [CORE],MSc in Mathematics,2,11,11
,,Functional Analysis [M 211] [CORE],MSc in Mathematics,3,0,0
,,Set Theory and Methodology of Mathematics [M 215] [CORE],MSc in Mathematics,1,0,0
A3,Faculty,General Physics Laboratory [PHY429] [CORE],MSc in Physics,2,8,8
,,Advanced Quantum Materials [PHY532] [ELECT],MSc in Physics,4,11,11
A4,Faculty,Statistical Mechanics I [PHY426] [CORE],MSc in Physics,2,16,16
,,Statistical Mechanics II [PHY516] [CORE],MSc in Physics,3,0,0
,,Classical Theory of Fields I : Electrodynamics [PHY413] [CORE],MSc in Physics,1,0,0
A5,Faculty,Introduction to Human Physiology (Th+Pr) [SSMSCTP 103 ] [CORE],MSc in Sports Science,1,0,0
,,Nutrition and Metabolism(Th+Pr) [SSMSCT P 105 ] [CORE],MSc in Sports Science,1,0,0
,,Kinesiology [SSMSCT 206] [CORE],MSc in Sports Science,2,9,9
,,Bioenergetics & Exercise Metabolism  [SSMSCTP 205] [CORE],MSc in Sports Science,2,12,12
,,Science of Pranayama [MSY CP 207] [CORE],MA / MSc in Yoga,2,17,5
A6,Faculty,Introduction to Human Physiology (Th+Pr) [SSMSCTP 103 ] [CORE],MSc in Sports Science,1,0,0
,,Sports Medicine- Ergogenic aids & Doping [SSMSCTP 201] [CORE],MSc in Sports Science,2,15,15
,,Exercise Physiology [SSMSCTP 203] [CORE],MSc in Sports Science,2,30,30
,,Applied Sports Physiology [SSMSCT&P 301] [CORE],MSc in Sports Science,3,0,0
,,Introduction to Human Anatomy (Th) [SSMSCT 102 ] [CORE],MSc in Sports Science,1,0,0
,,Nutrition and Metabolism(Th+Pr) [SSMSCT P 105 ] [CORE],MSc in Sports Science,1,0,0
A7,Faculty,Algebra I [M 201] [CORE],MSc in Mathematics,1,0,0
