Department,Programme,Category,Total,total_new
SANS,Integrated 5 Year MA in Sanskrit(M),SC,2,2
SANS,Integrated 5 Year MA in Sanskrit(M),OBC,6,6
SANS,Integrated 5 Year MA in Sanskrit(M),GENERAL,8,8
PHYS,MSc in Physics,GENERAL,11,11
COMPSC,MSc in Big Data Analytics,GENERAL,7,7
COMPSC,MSc in Computer Science,SC,1,1
COMPSC,MSc in Computer Science,GENERAL,4,4
SANS,Integrated MPhil-PhD in Sanskrit,GENERAL,1,1
SSYOGA,PG Diploma in Yoga,SC,5,5
SSYOGA,PG Diploma in Yoga,OBC,3,3
SSYOGA,PG Diploma in Yoga,GENERAL,4,4
MATHS,MSc in Mathematics,OBC,2,2
MATHS,MSc in Mathematics,GENERAL,8,8
PHYS,PhD in Physics,GENERAL,2,2
