Department,Programme,Category,Total,total_new
SANS,Integrated 5 Year MA in Sanskrit(M),SC,8,8
SANS,Integrated 5 Year MA in Sanskrit(M),OBC,5,5
SANS,Integrated 5 Year MA in Sanskrit(M),GENERAL,4,4
PHYS,MSc in Physics,OBC,1,1
PHYS,MSc in Physics,GENERAL,18,18
COMPSC,MSc in Big Data Analytics,SC,1,1
COMPSC,MSc in Big Data Analytics,OBC,2,2
COMPSC,MSc in Big Data Analytics,GENERAL,15,15
COMPSC,MSc in Computer Science,OBC,2,2
COMPSC,MSc in Computer Science,GENERAL,9,9
SSYOGA,PG Diploma in Yoga,SC,3,3
SSYOGA,PG Diploma in Yoga,OBC,1,1
SSYOGA,PG Diploma in Yoga,GENERAL,7,7
SSYOGA,PhD in Yoga,SC,1,1
SSYOGA,PhD in Yoga,GENERAL,1,1
MATHS,MSc in Mathematics,OBC,1,1
MATHS,MSc in Mathematics,GENERAL,9,9
PHYS,PhD in Physics,GENERAL,3,3
SSYOGA,Certificate Course in Yoga,SC,1,1
SSYOGA,Certificate Course in Yoga,OBC,1,1
SSYOGA,Certificate Course in Yoga,GENERAL,10,10
SSYOGA,Certificate Course in BAPN,GENERAL,9,9
SSYOGA,PhD in Sports Science,SC,3,3
SSYOGA,PhD in Sports Science,GENERAL,1,1
SANS,Diploma in Indian Heritage and Philosophy,SC,1,1
SANS,Diploma in Indian Heritage and Philosophy,GENERAL,1,1
