Department,Programme,Category,Total,total_new
SANS,Integrated 5 Year MA in Sanskrit(M),SC,2,2
SANS,Integrated 5 Year MA in Sanskrit(M),OBC,1,1
SANS,Integrated 5 Year MA in Sanskrit(M),GENERAL,11,11
PHYS,MSc in Physics,SC,1,1
PHYS,MSc in Physics,OBC,2,2
PHYS,MSc in Physics,GENERAL,21,21
COMPSC,MSc in Big Data Analytics,SC,1,1
COMPSC,MSc in Big Data Analytics,OBC,2,2
COMPSC,MSc in Big Data Analytics,GENERAL,16,16
COMPSC,MSc in Computer Science,SC,1,1
COMPSC,MSc in Computer Science,OBC,1,1
COMPSC,MSc in Computer Science,GENERAL,10,10
SANS,Integrated MPhil-PhD in Sanskrit,SC,1,1
SANS,Integrated MPhil-PhD in Sanskrit,OBC,2,2
SANS,Integrated MPhil-PhD in Sanskrit,GENERAL,2,2
SSYOGA,PG Diploma in Yoga,SC,3,3
SSYOGA,PG Diploma in Yoga,OBC,1,1
SSYOGA,PG Diploma in Yoga,GENERAL,7,7
SSYOGA,MA / MSc in Yoga,SC,2,2
SSYOGA,MA / MSc in Yoga,OBC,2,2
SSYOGA,MA / MSc in Yoga,GENERAL,2,2
MATHS,MSc in Mathematics,SC,2,2
MATHS,MSc in Mathematics,OBC,1,1
MATHS,MSc in Mathematics,GENERAL,11,11
SSYOGA,MSc in Sports Science,OBC,1,1
SSYOGA,MSc in Sports Science,GENERAL,5,5
SSYOGA,Certificate Course in Yoga,GENERAL,8,8
SSYOGA,Certificate Course in BAPN,OBC,1,1
SSYOGA,Certificate Course in BAPN,GENERAL,5,5
SANS,Integrated 5 Year MA in Sanskrit(W),OBC,1,1
SANS,Integrated 5 Year MA in Sanskrit(W),GENERAL,4,4
SANS,Certificate Course in Communicative Sanskrit - Preliminary,ST,2,2
SANS,Certificate Course in Communicative Sanskrit - Preliminary,SC,5,5
SANS,Certificate Course in Communicative Sanskrit - Preliminary,OBC,6,6
SANS,Certificate Course in Communicative Sanskrit - Preliminary,GENERAL,39,39
