row,column
117,63
81,48
62,86
146,24
187,76
197,44
294,102
293,39
257,73
316,71
367,60
384,46
362,136
345,50
334,29
399,19
415,101
397,73
434,54
420,116
369,95
167,297
83,381
82,288
60,241
38,331
55,469
138,410
113,326
149,390
114,451
123,349
298,338
236,437
283,397
264,365
227,330
223,373
247,306
319,284
368,322
323,396
202,253
180,245
445,429
441,429
483,428
411,374
455,329
455,246
379,291
416,260
430,324
416,306
401,271
442,295
465,279
445,286
458,293
433,277
275,271
246,248
183,211
102,228
24,194
51,245
85,200
183,446
277,444
328,438
308,477
347,420
366,382
330,370
306,358
340,337
381,214
374,246
338,259
302,244
262,233
164,371
182,336
228,76
252,112
242,149
153,138
163,104
119,115
71,136
35,34
35,403
48,419
31,362
53,389
88,483
195,487
285,491
253,493
331,478
369,457
398,450
486,333
488,218
492,277
487,83
468,40
463,131
464,118
460,91
439,104
292,312
215,293
158,269
152,223
139,237
132,280
111,258
155,304
152,273
106,418
91,414
76,434
66,367
71,341
63,292
49,290
17,286
20,266
9,348
21,452
29,406
8,417
33,454
33,433
92,467
164,506
169,461
142,463
191,455
251,407
187,424
222,415
220,14
243,33
267,46
219,117
195,132
197,105
151,27
