x,y,B1,B2,B3,B4,Label
28,15,43,28,27,39,1
32,28,42,27,25,42,1
64,117,40,26,28,31,1
42,81,47,32,36,43,1
152,74,39,25,28,34,1
108,47,43,28,32,38,1
131,97,41,27,29,38,1
222,39,36,20,19,29,1
210,110,40,23,20,38,1
332,178,44,26,29,29,1
328,137,41,24,26,27,1
285,169,40,24,24,32,1
231,136,38,25,26,32,1
162,140,43,29,31,39,1
182,93,42,28,28,39,1
161,119,40,25,28,34,1
188,32,37,22,22,33,1
145,34,43,28,29,38,1
81,26,41,26,30,36,1
79,56,37,23,23,32,1
97,86,38,24,23,37,1
305,22,39,26,26,37,1
256,88,38,25,26,40,1
263,55,41,27,25,44,1
345,71,40,24,23,35,1
316,106,38,24,26,31,1
313,81,39,24,23,31,1
362,37,39,24,26,30,1
317,56,38,25,21,54,1
407,47,40,25,25,33,1
404,146,41,24,26,28,1
376,132,41,25,25,31,1
381,99,40,24,26,28,1
352,113,39,24,26,43,1
452,62,39,24,24,32,1
431,139,43,28,29,28,1
438,95,41,25,25,33,1
491,87,42,27,25,40,1
495,117,45,29,29,33,1
472,130,42,27,30,29,1
502,38,39,25,27,36,1
500,18,39,24,23,34,1
463,15,38,23,21,33,1
431,14,41,26,27,34,1
401,13,44,27,26,37,1
397,31,40,24,28,35,1
366,22,39,26,24,30,1
255,14,37,24,24,40,1
264,34,41,27,27,43,1
53,328,37,23,25,37,1
102,375,39,24,23,38,1
182,331,41,25,27,39,1
215,296,49,33,34,41,1
106,278,37,22,20,45,1
53,248,38,25,27,39,1
29,223,37,23,22,39,1
9,339,39,24,24,27,1
23,109,41,27,30,32,1
70,325,40,24,26,36,1
65,407,38,23,24,31,1
44,307,39,23,23,34,1
37,265,39,23,21,33,1
24,278,39,25,25,35,1
18,319,41,27,28,36,1
64,482,44,30,31,41,1
157,420,45,32,34,39,1
235,450,36,23,24,32,1
315,380,41,25,26,37,1
303,334,45,28,30,37,1
409,308,45,30,31,32,1
455,225,42,28,29,27,1
465,333,44,27,28,30,1
493,267,42,26,29,29,1
477,272,44,27,26,26,1
466,298,42,26,28,29,1
427,276,41,26,28,27,1
358,254,42,26,27,27,1
333,286,41,25,27,27,1
279,259,41,26,29,28,1
234,231,41,26,28,34,1
193,234,43,27,29,29,1
164,221,41,26,26,29,1
183,188,41,25,29,30,1
82,248,41,26,25,35,1
108,222,41,26,28,29,1
44,211,43,26,26,28,1
77,218,39,25,27,34,1
148,363,39,24,25,36,1
155,279,44,30,30,34,1
260,391,40,25,25,35,1
227,370,43,29,29,39,1
244,334,39,24,23,42,1
288,377,41,25,25,33,1
177,460,42,25,28,32,1
202,406,39,25,29,33,1
170,396,41,28,29,36,1
111,451,42,29,27,41,1
53,422,37,23,24,33,1
32,425,40,25,25,34,1
30,466,45,32,32,36,1
64,456,38,24,23,31,1
112,474,40,26,23,34,1
145,487,42,27,27,39,1
204,491,41,26,26,38,1
238,490,37,24,23,34,1
288,501,40,26,27,35,1
318,493,41,27,30,38,1
360,505,42,26,24,29,1
392,499,40,24,25,36,1
373,453,39,23,22,28,1
381,371,43,29,31,37,1
388,407,41,26,28,38,1
359,408,45,31,35,38,1
358,363,47,30,32,36,1
347,332,41,26,26,31,1
396,345,40,25,24,24,1
437,361,40,26,28,35,1
410,372,49,34,39,41,1
337,423,38,23,21,29,1
301,413,43,28,29,35,1
298,445,44,30,30,43,1
274,435,38,23,21,33,1
226,421,39,25,23,37,1
242,413,37,22,22,33,1
244,396,37,23,22,39,1
193,366,39,25,24,29,1
419,237,42,26,29,29,1
394,235,41,26,30,28,1
400,222,42,26,28,28,1
312,260,41,25,28,27,1
274,231,40,25,24,33,1
501,202,39,23,24,38,1
498,176,40,25,27,29,1
443,197,43,28,28,28,1
390,205,43,26,29,30,1
435,303,41,25,27,29,1
381,266,40,25,28,27,1
391,294,44,29,29,36,1
408,451,37,21,19,22,1
405,432,44,30,33,42,1
410,406,40,26,29,35,1
133,384,38,22,21,37,1
127,335,40,26,29,40,1
106,318,44,29,30,39,1
51,372,41,26,25,42,1
37,376,38,22,20,29,1
35,406,37,23,22,36,1
71,367,40,26,26,34,1
94,344,42,28,29,37,1
136,261,38,24,25,44,1
