x,y,B1,B2,B3,B4,Label
71,175,96.75,85.5,87.75,79.5,0
53,169,96.0,86.25,87.75,80.25,0
31,159,96.75,86.25,87.75,79.5,0
21,154,96.75,86.25,87.0,79.5,0
14,151,96.75,85.5,87.0,79.5,0
41,164,96.75,86.25,87.75,79.5,0
61,174,96.75,86.25,87.75,80.25,0
81,178,96.75,86.25,87.75,79.5,0
89,181,96.0,86.25,87.75,79.5,0
96,178,96.0,86.25,87.0,79.5,0
103,182,96.75,86.25,87.75,79.5,0
111,177,96.0,86.25,87.0,79.5,0
122,177,96.0,86.25,87.75,79.5,0
132,176,96.75,86.25,87.0,79.5,0
136,168,96.75,86.25,87.0,79.5,0
142,170,96.0,86.25,87.0,79.5,0
151,167,96.0,85.5,87.0,79.5,0
158,166,96.0,86.25,87.0,79.5,0
169,165,96.0,86.25,87.0,79.5,0
181,165,96.0,85.5,87.0,79.5,0
197,167,96.75,85.5,87.75,79.5,0
204,171,94.5,83.25,84.75,78.75,0
220,174,96.75,86.25,87.0,80.25,0
213,171,96.75,86.25,87.75,79.5,0
233,182,96.75,86.25,87.0,79.5,0
229,179,96.75,86.25,87.0,79.5,0
240,186,98.25,87.75,88.5,78.75,0
248,186,97.5,86.25,87.75,79.5,0
253,193,97.5,87.0,88.5,78.75,0
247,191,97.5,87.0,87.75,79.5,0
260,198,97.5,87.0,88.5,78.75,0
267,203,97.5,87.0,87.75,78.75,0
277,207,96.75,87.0,87.75,78.75,0
287,210,96.75,86.25,87.75,79.5,0
282,208,97.5,86.25,87.0,78.75,0
292,214,96.0,86.25,87.75,80.25,0
300,218,96.0,85.5,87.0,80.25,0
310,219,96.0,85.5,87.0,80.25,0
322,223,96.75,85.5,87.0,80.25,0
317,227,96.0,85.5,86.25,79.5,0
318,218,96.0,86.25,87.0,79.5,0
331,222,95.25,85.5,87.0,80.25,0
338,219,96.0,85.5,87.0,79.5,0
337,211,96.75,86.25,87.75,78.75,0
351,208,96.75,86.25,87.0,80.25,0
346,207,96.75,86.25,87.75,80.25,0
345,213,96.0,85.5,87.0,79.5,0
361,203,97.5,87.0,87.75,78.75,0
367,196,96.0,86.25,86.25,79.5,0
373,195,96.0,85.5,86.25,79.5,0
